Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Running,105,758,Lunch,928,"10g Protein, 91g Carbs, 20g Fat",3.5,5,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,14,762,Dinner,903,"12g Protein, 48g Carbs, 18g Fat",3.2,10,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Strength Training,116,682,Dinner,698,"38g Protein, 73g Carbs, 9g Fat",2.4,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Cycling,88,626,Dinner,395,"19g Protein, 55g Carbs, 22g Fat",2.7,5,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Cycling,96,465,Lunch,588,"17g Protein, 70g Carbs, 16g Fat",2.1,5,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,38,168,Lunch,757,"22g Protein, 20g Carbs, 19g Fat",2.2,6,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Strength Training,73,765,Breakfast,588,"50g Protein, 25g Carbs, 11g Fat",2.5,10,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Yoga,38,764,Snack,512,"35g Protein, 27g Carbs, 21g Fat",0.8,10,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,32,252,Snack,423,"30g Protein, 48g Carbs, 23g Fat",1.8,8,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,93,346,Breakfast,702,"39g Protein, 78g Carbs, 24g Fat",3.4,9,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,71,184,Lunch,591,"10g Protein, 64g Carbs, 20g Fat",1.1,7,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,17,198,Lunch,241,"26g Protein, 98g Carbs, 17g Fat",2.6,4,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Strength Training,85,707,Snack,963,"17g Protein, 21g Carbs, 15g Fat",2.1,4,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,99,186,Snack,252,"27g Protein, 55g Carbs, 17g Fat",3.3,5,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Yoga,77,440,Dinner,292,"23g Protein, 34g Carbs, 20g Fat",0.9,10,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Strength Training,109,68,Breakfast,582,"42g Protein, 88g Carbs, 20g Fat",2.2,4,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Swimming,52,588,Lunch,763,"20g Protein, 35g Carbs, 30g Fat",1.8,8,Good,Standard balanced diet.,Vegetable curry with quinoa,Shrimp and avocado salad
Strength Training,71,374,Dinner,296,"48g Protein, 97g Carbs, 20g Fat",1.8,10,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,19,90,Lunch,804,"23g Protein, 49g Carbs, 9g Fat",1.5,9,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Running,47,728,Lunch,373,"32g Protein, 46g Carbs, 18g Fat",2.8,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,32,153,Dinner,392,"29g Protein, 83g Carbs, 23g Fat",0.9,4,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Cycling,14,596,Dinner,948,"15g Protein, 63g Carbs, 30g Fat",2,8,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Running,105,356,Snack,505,"32g Protein, 30g Carbs, 26g Fat",1.9,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Running,104,453,Dinner,672,"19g Protein, 85g Carbs, 21g Fat",2.8,8,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Strength Training,99,763,Lunch,725,"27g Protein, 26g Carbs, 23g Fat",3.2,8,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Strength Training,55,319,Breakfast,448,"11g Protein, 42g Carbs, 29g Fat",1.9,6,Good,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Running,101,455,Snack,376,"37g Protein, 42g Carbs, 24g Fat",0.7,4,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Cycling,63,362,Snack,799,"48g Protein, 88g Carbs, 15g Fat",1.1,4,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Shrimp and avocado salad
Strength Training,94,736,Dinner,722,"35g Protein, 71g Carbs, 21g Fat",0.9,6,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Yoga,72,78,Snack,484,"25g Protein, 81g Carbs, 7g Fat",2.6,4,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Cycling,49,354,Dinner,741,"46g Protein, 81g Carbs, 20g Fat",1.7,8,Fair,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,15,506,Snack,825,"27g Protein, 70g Carbs, 20g Fat",1.8,4,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Strength Training,24,296,Lunch,468,"29g Protein, 56g Carbs, 13g Fat",2.8,8,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Cycling,34,318,Breakfast,356,"17g Protein, 45g Carbs, 9g Fat",1.7,6,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Cycling,21,450,Snack,366,"46g Protein, 99g Carbs, 25g Fat",3.1,5,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,57,356,Snack,742,"36g Protein, 23g Carbs, 8g Fat",1,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Running,33,116,Snack,303,"39g Protein, 32g Carbs, 22g Fat",1.9,5,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Strength Training,118,506,Dinner,455,"31g Protein, 98g Carbs, 25g Fat",1.9,6,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,88,705,Dinner,278,"29g Protein, 64g Carbs, 26g Fat",2.6,9,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,47,198,Breakfast,917,"49g Protein, 33g Carbs, 5g Fat",2,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Strength Training,11,184,Dinner,412,"38g Protein, 97g Carbs, 17g Fat",1.9,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Strength Training,89,249,Snack,786,"15g Protein, 31g Carbs, 5g Fat",3.3,6,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Strength Training,28,365,Breakfast,764,"12g Protein, 84g Carbs, 11g Fat",0.8,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Running,36,504,Breakfast,322,"39g Protein, 92g Carbs, 10g Fat",1,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Running,19,514,Lunch,522,"20g Protein, 99g Carbs, 21g Fat",1.3,10,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,34,717,Lunch,678,"23g Protein, 31g Carbs, 18g Fat",1.9,8,Good,Balanced meal with lean protein.,Avocado toast with seeds,Shrimp and avocado salad
Running,47,523,Lunch,359,"16g Protein, 65g Carbs, 12g Fat",2.8,9,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Cycling,34,494,Dinner,686,"10g Protein, 60g Carbs, 5g Fat",3.2,10,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,29,456,Dinner,390,"31g Protein, 90g Carbs, 17g Fat",2.9,6,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Strength Training,19,521,Dinner,991,"14g Protein, 46g Carbs, 26g Fat",0.6,9,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Cycling,62,751,Dinner,306,"34g Protein, 58g Carbs, 26g Fat",1.1,7,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Strength Training,20,363,Dinner,603,"16g Protein, 37g Carbs, 13g Fat",3.1,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Yoga,54,171,Breakfast,363,"15g Protein, 46g Carbs, 9g Fat",2.8,8,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Running,120,54,Breakfast,296,"39g Protein, 84g Carbs, 29g Fat",0.9,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,51,332,Snack,439,"35g Protein, 65g Carbs, 30g Fat",2.6,8,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Cycling,38,538,Breakfast,912,"11g Protein, 37g Carbs, 19g Fat",2.7,8,Good,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Cycling,72,491,Dinner,955,"23g Protein, 55g Carbs, 13g Fat",1,8,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Swimming,44,433,Dinner,467,"42g Protein, 52g Carbs, 26g Fat",2.9,4,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Cycling,85,193,Breakfast,422,"24g Protein, 23g Carbs, 22g Fat",2.4,10,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,60,498,Dinner,695,"29g Protein, 50g Carbs, 29g Fat",3.3,5,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Running,72,571,Lunch,710,"30g Protein, 99g Carbs, 27g Fat",1.6,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Strength Training,20,440,Lunch,827,"23g Protein, 28g Carbs, 12g Fat",1,5,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Cycling,73,72,Lunch,529,"13g Protein, 84g Carbs, 25g Fat",0.9,5,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Cycling,23,734,Dinner,479,"30g Protein, 47g Carbs, 6g Fat",1,5,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Yoga,55,126,Lunch,257,"14g Protein, 36g Carbs, 9g Fat",1.9,9,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Yoga,76,792,Dinner,467,"10g Protein, 82g Carbs, 10g Fat",0.6,6,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,60,606,Breakfast,680,"35g Protein, 75g Carbs, 25g Fat",1.6,9,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Running,77,101,Lunch,767,"49g Protein, 67g Carbs, 30g Fat",0.7,9,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Swimming,31,731,Lunch,260,"19g Protein, 28g Carbs, 24g Fat",2.7,9,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Yoga,27,388,Breakfast,476,"38g Protein, 87g Carbs, 13g Fat",0.7,4,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Cycling,118,523,Dinner,697,"16g Protein, 54g Carbs, 13g Fat",2.5,6,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Cycling,85,174,Dinner,691,"47g Protein, 61g Carbs, 15g Fat",2.3,7,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Swimming,112,95,Breakfast,559,"26g Protein, 25g Carbs, 9g Fat",2.5,6,Fair,Standard balanced diet.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Swimming,56,602,Lunch,743,"19g Protein, 20g Carbs, 29g Fat",2.5,7,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,21,494,Snack,847,"14g Protein, 45g Carbs, 29g Fat",3.3,5,Good,Balanced meal with lean protein.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Strength Training,112,102,Dinner,415,"11g Protein, 44g Carbs, 18g Fat",1.8,6,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Strength Training,35,169,Breakfast,424,"34g Protein, 26g Carbs, 7g Fat",3.1,8,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Swimming,72,714,Breakfast,818,"18g Protein, 36g Carbs, 19g Fat",0.6,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,37,360,Snack,603,"37g Protein, 65g Carbs, 26g Fat",0.7,10,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Swimming,53,387,Snack,604,"29g Protein, 84g Carbs, 29g Fat",2.8,8,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,15,734,Lunch,217,"24g Protein, 61g Carbs, 8g Fat",2.5,4,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,67,174,Breakfast,609,"10g Protein, 36g Carbs, 30g Fat",2.2,4,Good,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Yoga,10,395,Breakfast,590,"30g Protein, 98g Carbs, 25g Fat",1.9,5,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Yoga,57,677,Breakfast,344,"14g Protein, 94g Carbs, 23g Fat",2.3,10,Good,Balanced meal with lean protein.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Swimming,77,254,Dinner,294,"17g Protein, 41g Carbs, 12g Fat",1.1,7,Good,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Swimming,11,124,Dinner,613,"30g Protein, 63g Carbs, 15g Fat",1.7,4,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Cycling,114,542,Snack,227,"50g Protein, 28g Carbs, 17g Fat",1.2,7,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,111,243,Dinner,638,"42g Protein, 93g Carbs, 25g Fat",2.8,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Swimming,45,429,Snack,381,"24g Protein, 85g Carbs, 17g Fat",0.9,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Swimming,107,351,Dinner,366,"39g Protein, 24g Carbs, 27g Fat",2,8,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Yoga,59,651,Breakfast,767,"42g Protein, 58g Carbs, 18g Fat",3.1,4,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Beef stir-fry with vegetables
Yoga,35,669,Snack,258,"42g Protein, 86g Carbs, 18g Fat",3.4,7,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,29,438,Dinner,519,"49g Protein, 52g Carbs, 12g Fat",0.6,7,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Strength Training,10,115,Snack,638,"33g Protein, 66g Carbs, 6g Fat",0.8,9,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Yoga,56,528,Breakfast,443,"47g Protein, 95g Carbs, 6g Fat",1.1,7,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Shrimp and avocado salad
Cycling,41,631,Snack,407,"30g Protein, 63g Carbs, 9g Fat",0.9,9,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,92,90,Lunch,672,"33g Protein, 70g Carbs, 20g Fat",2.4,5,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Running,58,335,Snack,722,"14g Protein, 75g Carbs, 13g Fat",1.1,7,Fair,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Cycling,115,447,Dinner,944,"50g Protein, 95g Carbs, 6g Fat",1.6,4,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Cycling,120,374,Snack,473,"45g Protein, 26g Carbs, 15g Fat",2.8,9,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,47,466,Dinner,843,"44g Protein, 40g Carbs, 30g Fat",2.6,4,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Swimming,84,271,Breakfast,224,"16g Protein, 92g Carbs, 16g Fat",1.5,9,Fair,Standard balanced diet.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Running,89,458,Snack,738,"17g Protein, 38g Carbs, 25g Fat",2.8,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,120,503,Snack,568,"36g Protein, 42g Carbs, 24g Fat",2,5,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Yoga,83,71,Breakfast,206,"49g Protein, 29g Carbs, 10g Fat",3.1,6,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Swimming,13,589,Dinner,495,"23g Protein, 94g Carbs, 11g Fat",2.8,6,Excellent,Standard balanced diet.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Strength Training,27,288,Lunch,524,"35g Protein, 31g Carbs, 29g Fat",2.5,8,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Cycling,27,773,Dinner,665,"11g Protein, 78g Carbs, 5g Fat",0.6,4,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,69,728,Lunch,731,"22g Protein, 44g Carbs, 20g Fat",2,10,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Cycling,118,595,Lunch,700,"29g Protein, 87g Carbs, 17g Fat",2.6,4,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,35,96,Dinner,679,"26g Protein, 34g Carbs, 6g Fat",1.9,10,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,16,442,Snack,674,"30g Protein, 82g Carbs, 24g Fat",0.6,5,Good,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Yoga,112,202,Snack,552,"34g Protein, 98g Carbs, 25g Fat",3.4,5,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Strength Training,16,445,Lunch,760,"29g Protein, 91g Carbs, 27g Fat",1.9,6,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Cycling,120,714,Dinner,621,"17g Protein, 81g Carbs, 9g Fat",2.6,9,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Running,48,553,Breakfast,973,"34g Protein, 92g Carbs, 12g Fat",2,7,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,21,790,Breakfast,497,"11g Protein, 86g Carbs, 23g Fat",0.6,7,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Strength Training,27,570,Breakfast,805,"15g Protein, 47g Carbs, 20g Fat",2.4,6,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Yoga,71,521,Lunch,435,"37g Protein, 37g Carbs, 29g Fat",3.1,8,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Swimming,108,377,Snack,568,"36g Protein, 77g Carbs, 22g Fat",0.9,4,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Cycling,85,200,Lunch,517,"49g Protein, 65g Carbs, 10g Fat",2.1,9,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Strength Training,55,600,Breakfast,666,"14g Protein, 99g Carbs, 11g Fat",3.3,9,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Cycling,75,315,Breakfast,473,"46g Protein, 100g Carbs, 18g Fat",2.4,5,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Running,116,760,Breakfast,501,"28g Protein, 37g Carbs, 26g Fat",1.6,5,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,78,196,Dinner,282,"16g Protein, 83g Carbs, 15g Fat",2.6,10,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Running,19,236,Dinner,421,"18g Protein, 49g Carbs, 30g Fat",1.6,6,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Swimming,50,518,Dinner,781,"28g Protein, 44g Carbs, 19g Fat",2.9,5,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Yoga,26,86,Breakfast,262,"17g Protein, 77g Carbs, 28g Fat",3.1,7,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Yoga,57,460,Breakfast,669,"20g Protein, 49g Carbs, 30g Fat",3.5,10,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Strength Training,118,470,Snack,978,"28g Protein, 96g Carbs, 8g Fat",1.7,4,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Cycling,101,598,Snack,235,"16g Protein, 93g Carbs, 7g Fat",2.4,7,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Strength Training,24,244,Breakfast,267,"10g Protein, 89g Carbs, 23g Fat",1.9,6,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Yoga,31,283,Snack,999,"13g Protein, 96g Carbs, 26g Fat",1.3,6,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Cycling,66,754,Snack,926,"12g Protein, 35g Carbs, 17g Fat",1.3,5,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,119,517,Lunch,352,"16g Protein, 90g Carbs, 20g Fat",2.8,5,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Cycling,15,768,Snack,969,"10g Protein, 73g Carbs, 10g Fat",0.7,10,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,55,69,Snack,732,"21g Protein, 42g Carbs, 11g Fat",1.9,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Strength Training,11,564,Dinner,667,"21g Protein, 23g Carbs, 12g Fat",1.8,9,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Yoga,86,777,Lunch,356,"14g Protein, 57g Carbs, 12g Fat",2.1,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Yoga,60,335,Dinner,577,"24g Protein, 52g Carbs, 15g Fat",2.5,10,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Shrimp and avocado salad
Yoga,50,494,Dinner,888,"33g Protein, 30g Carbs, 6g Fat",2.1,4,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Yoga,59,359,Snack,936,"21g Protein, 28g Carbs, 9g Fat",0.5,8,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,49,494,Breakfast,995,"44g Protein, 88g Carbs, 28g Fat",1.9,5,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,40,339,Breakfast,210,"48g Protein, 59g Carbs, 13g Fat",3.3,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Strength Training,100,232,Lunch,502,"50g Protein, 30g Carbs, 19g Fat",2.2,4,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Yoga,17,97,Lunch,485,"25g Protein, 32g Carbs, 10g Fat",0.6,7,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Yoga,21,277,Dinner,692,"26g Protein, 88g Carbs, 24g Fat",1.9,4,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Cycling,98,50,Dinner,779,"36g Protein, 40g Carbs, 10g Fat",2.5,4,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Strength Training,120,382,Lunch,977,"28g Protein, 97g Carbs, 15g Fat",0.5,10,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Strength Training,104,357,Breakfast,427,"44g Protein, 51g Carbs, 28g Fat",3.4,7,Good,Balanced meal with lean protein.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Strength Training,40,553,Dinner,298,"39g Protein, 34g Carbs, 22g Fat",2.1,9,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
